epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,27434.9,0.67516,0.75489,1.17891,0.83315,0.80901,0.88647,0.69838,0.83476,0.61847,1.29981,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,27748,0.67293,0.75281,1.17865,0.82486,0.81503,0.88637,0.69788,0.83377,0.61701,1.29916,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28061.6,0.66794,0.74392,1.17502,0.82559,0.81154,0.88647,0.69702,0.83317,0.61557,1.29845,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,28375.3,0.66462,0.73801,1.17282,0.82154,0.81469,0.88679,0.69767,0.83114,0.61398,1.29612,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,28693,0.67045,0.51173,1.26811,0.82688,0.8126,0.88697,0.69855,0.82833,0.6112,1.29325,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,29008.4,0.65677,0.49115,1.25827,0.82295,0.81019,0.88724,0.69977,0.82525,0.60926,1.29004,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,29323,0.64954,0.47823,1.25053,0.84189,0.7898,0.88736,0.70073,0.82224,0.60852,1.28677,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,29637.6,0.6442,0.46896,1.24561,0.8353,0.80258,0.88804,0.70083,0.82043,0.60652,1.28464,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,29951.4,0.63771,0.45906,1.23952,0.82867,0.80722,0.88876,0.70157,0.81901,0.60485,1.28324,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,30265.8,0.63224,0.44809,1.23538,0.83743,0.7995,0.88927,0.70393,0.81739,0.60298,1.28125,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,30581.3,0.62384,0.43792,1.22672,0.8167,0.81776,0.88944,0.70344,0.81618,0.60175,1.27949,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,30895.7,0.61965,0.42765,1.22343,0.8267,0.81194,0.8896,0.70498,0.81461,0.5999,1.27814,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,31210.3,0.61524,0.41656,1.22276,0.82919,0.80965,0.88966,0.70561,0.81338,0.5997,1.2771,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,31525.2,0.60894,0.40854,1.21599,0.83244,0.81154,0.8899,0.70571,0.81217,0.59786,1.27596,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
