epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,21708.7,0.70248,0.81548,1.19933,0.82991,0.80616,0.88146,0.69229,0.8353,0.62864,1.28633,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21986.3,0.69966,0.8099,1.19764,0.83445,0.8029,0.88201,0.69311,0.83437,0.62745,1.28545,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22263.8,0.69847,0.80565,1.19596,0.83373,0.80284,0.88204,0.69373,0.83334,0.62778,1.28497,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22541,0.69573,0.8011,1.19445,0.8339,0.80498,0.8827,0.69418,0.83306,0.62651,1.28451,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22820,0.69198,0.79403,1.19311,0.83584,0.80498,0.88339,0.69556,0.83175,0.62596,1.28303,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23100.8,0.69038,0.79297,1.1913,0.83441,0.80197,0.88379,0.69505,0.83135,0.62535,1.28284,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23379.8,0.68946,0.78627,1.18956,0.83296,0.80181,0.88395,0.69579,0.83136,0.62388,1.28283,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23658.6,0.68817,0.78345,1.18856,0.83015,0.80261,0.88451,0.69561,0.83068,0.62224,1.28176,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,23937.8,0.6814,0.77518,1.18593,0.83118,0.80224,0.88463,0.69685,0.83024,0.62141,1.28082,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24216.5,0.6823,0.76991,1.1851,0.83345,0.79935,0.88502,0.69751,0.82912,0.62053,1.27977,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24495.2,0.68062,0.77215,1.18514,0.8369,0.8,0.88479,0.69801,0.82797,0.61944,1.27855,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24773.2,0.67573,0.75965,1.18119,0.83439,0.80263,0.88491,0.69736,0.82639,0.61765,1.27695,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,25052,0.67271,0.75418,1.17943,0.83304,0.80544,0.88538,0.69783,0.82542,0.61616,1.27614,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25331,0.67929,0.53212,1.27863,0.83469,0.80521,0.88566,0.69856,0.82375,0.61458,1.27469,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25604.9,0.66732,0.51312,1.2686,0.83821,0.80644,0.88567,0.69898,0.82186,0.61352,1.27301,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25879.3,0.65851,0.49917,1.26028,0.83925,0.80648,0.88603,0.70048,0.82037,0.61185,1.27147,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26154.2,0.65424,0.49008,1.25719,0.8403,0.8084,0.88668,0.70113,0.81823,0.60967,1.26973,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26428.4,0.64997,0.47714,1.25192,0.84491,0.80664,0.8862,0.70072,0.81623,0.60862,1.26877,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,26702.9,0.6445,0.47003,1.2484,0.84377,0.81067,0.8865,0.70081,0.81479,0.60673,1.26751,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,26977.6,0.63477,0.4584,1.23979,0.84617,0.81011,0.88676,0.70179,0.81333,0.60606,1.26665,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27252.9,0.63281,0.45271,1.23776,0.8457,0.81039,0.88654,0.70114,0.81175,0.60501,1.2656,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27527.9,0.62673,0.44148,1.23549,0.84322,0.81018,0.88678,0.70207,0.8105,0.60384,1.26494,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27803.2,0.62268,0.43579,1.23051,0.84139,0.81428,0.88728,0.70243,0.80894,0.60263,1.26389,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
